title,VADER_label,VADER_score,FinBERT_label,FinBERT_score
India's HDFC Bank beats quarterly profit expectations on better lending margins - Reuters,Positive,0.891,Positive,1.0
"HDFC Bank Q3 profit jumps 12% to ₹19,807 crore - The Hindu",Positive,0.7003,Positive,1.0
HDFC Bank’s Net Income Exceeds Estimates on Strong Loan Growth - Bloomberg,Positive,0.8957,Negative,0.9625298976898192
Will HDFC Bank shares stage a comeback after recent underperformance? Target prices - MSN,Positive,0.5803,Negative,0.6544612646102905
HDFC Bank Q3 results: Net profit likely to rise up to 7% YoY on robust loan growth - Upstox,Positive,0.93,Positive,1.0
"HDFC Bank net profit rises 11.5% to Rs 18,653 crore on back of ltreasury profits - Times of India",Positive,0.891,Positive,0.999996542930603
Earnings preview: HDFC Bank likely to post modest earnings growth in Q3 - BusinessLine,Positive,0.6369,Positive,0.9965401887893676
HDFC Bank Q3 Preview: Muted Profit Growth Expected Amid Stable Margins - Whalesbook,Positive,0.9246,Negative,0.9999877214431764
HDFC Bank Q3FY26 preview: Street eyes steady earnings amid LDR concerns - CNBC TV18,Neutral,0.0,Positive,0.9426138401031494
"HDFC Bank stock outlook: Brokerages bullish after Q3 profit beat, flag deposit growth as key monitor - Moneycontrol",Positive,0.875,Positive,1.0
"One hit, one miss: HDFC Bank posts 12% profit jump; ICICI Bank earnings slump - theweek.in",Positive,0.5574,Negative,0.9999943971633912
HDFC Bank Q3 results preview: Profit may post muted growth; NIMs stable - Business Standard,Positive,0.9246,Neutral,0.8914515376091003
"HDFC Bank Q3 results preview: Net profit likely to rise 11%, NII to remain healthy - Mint",Positive,0.8807,Positive,0.9999997615814208
"Q3 Results: HDFC Bank, ICICI Bank, YES Bank, RBL Bank, UCO Bank, IDBI Bank & others to post earnings on Jan 17 - Upstox",Positive,0.7824,Neutral,0.9999940395355223
"Downtime alert for HDFC Bank net banking services for January 2026: Dates, what will work and not - Times of India",Positive,0.5267,Neutral,0.999972939491272
HDFC Bank shares slip today post Q3 results despite bullish brokerage calls - Moneycontrol,Positive,0.5267,Negative,0.9999897480010986
"HDFC Bank Q3 net rises 11.5% to ₹18,654 crore - The Hindu",Neutral,0.0,Positive,0.997257649898529
"HDFC Bank eyes faster loan growth, says high credit-deposit ratio not a constraint - Mint",Positive,0.6369,Positive,0.9999871253967284
CD ratio won't constrain HDFC Bank's loan growth aspirations: MD Jagdishan - Business Standard,Positive,0.6369,Neutral,0.743186891078949
"Reliance Industries, HDFC Bank, ICICI Bank Q3 earnings to drive markets on Monday; check key numbers here - Upstox",Neutral,0.0,Neutral,0.9999974966049194
"HDFC Bank Q3 Results Preview: PAT, NII and key factors to watch - Zee Business",Neutral,0.0,Neutral,0.9999595880508424
HDFCBANK Outlook for the Week - Equitypandit,Neutral,0.0,Neutral,0.999997615814209
"Q3 results 2026: HDFC Bank, ICICI Bank, Yes Bank, IDBI Bank among companies to declare earnings today; check full list - MSN",Positive,0.6597,Neutral,0.9999912977218628
"HDFC Bank Q3 FY26 Results: From almost in line PAT to steady asset quality, 5 things investors should know - Zee Business",Positive,0.6124,Positive,0.9806697964668274
"HDFC Bank Q3 Results | Net profit beats estimates, NII up 6% at ₹32,615 crore - CNBC TV18",Positive,0.7003,Positive,0.9999998807907104
"HDFC Bank Q3 Results: PAT jumps 11% YoY to Rs 18,654 crore, beats estimates; NII up 6.4% - The Economic Times",Neutral,0.0,Positive,0.9999998807907104
"HDFC Bank Q3 net profit rises 11.5% YoY to Rs 18,654 crore; asset quality stable, loans grow in double... - Moneycontrol",Positive,0.9217,Positive,1.0
"CLSA Sets ₹1,200 Target for HDFC Bank with 28% Upside Potential - scanx.trade",Neutral,0.0,Positive,0.9957348704338074
"HDFC Bank Q3 Results 2026 Highlights: Net profit rises 11% to ₹18,654 crore; NII up 6.4% YoY - Mint",Positive,0.7003,Positive,0.9999998807907104
HDFC Bank enables digital rupee payments for merchants - Asian Banking & Finance,Neutral,0.0,Neutral,0.9310544729232788
"Loan growth, margin tailwinds to support HDFC, ICICI Bank in Q3 | Mint - Mint",Positive,0.8625,Positive,0.9999983310699464
Is HDFC Bank the 2026 valuation play? Q3 results May hold a clue - The Financial Express,Positive,0.6322,Negative,0.6746339797973633
"HDFC Bank Q3 Results: Date, Share Price History, Earnings Call Details And More - NDTV Profit",Positive,0.8671,Neutral,0.999998927116394
HDFC Bank shares rise 2.4% on robust advances and deposits growth - Upstox,Positive,0.9081,Positive,1.0
Are HDFC Bank shares trading at a discount compared to ICICI Bank? Here’s what CLSA says - Trade Brains,Positive,0.5803,Neutral,0.9999970197677612
HDFC Bank vs ICICI Bank vs Yes Bank vs RBL Bank: Which stock to buy after Q3 results 2026? - Mint,Positive,0.6966,Neutral,0.9897224307060242
"Q3 results 2026: HDFC Bank, ICICI Bank, Yes Bank, IDBI Bank among companies to declare earnings today; check full list - Mint",Positive,0.6597,Neutral,0.9999984502792358
"Priority sector lending: RBI asks HDFC, ICICI banks to make extra provisions - The Economic Times",Neutral,0.0,Neutral,0.9999760389328004
"HDFC Bank Q3 preview: PAT growth seen up to 13% YoY, NII likely to rise 4-8%. Here’s what investors can ex - The Economic Times",Positive,0.6369,Positive,0.9109824895858764
"When are HDFC, ICICI Q3 results out? Indian investors in banking stocks await quarterly earnings: South Indian Bank results today - theweek.in",Positive,0.2869,Neutral,0.9999946355819702
HDFC Bank’s Recovery Gains Momentum on Lending Expansion - Bloomberg,Positive,0.5859,Positive,1.0
"HDFC Bank Cuts Rewards On This Credit Card, Slashes SmartBuy Voucher Points - News18",Positive,0.6597,Neutral,0.9971004128456116
Meet the ‘next HDFC Bank’: 4 small finance gems with 24% growth potential - The Financial Express,Positive,0.6369,Positive,0.9915952086448668
"Earnings call transcript: HDFC Bank Q3 2025 sees steady EPS, minor revenue miss - Investing.com",Negative,-0.296,Neutral,0.7881312370300293
"Bank Nifty reclaims 60,000 after 4 days, ahead of ICICI, HDFC Bank Q3 results: Check key resistance levels - Moneycontrol",Positive,0.6597,Neutral,0.9998233914375304
"Q3 results Highlights | Netweb Tech posts record profit, Rossari Biotech revenue up 13% - CNBC TV18",Positive,0.7003,Positive,1.0
"Stocks to Watch for Jan 19: RIL, HDFC Bank, ICICI Bank, Wipro, L&T Finance, CG Power and more - CNBC TV18",Neutral,0.0,Neutral,0.9999898672103882
"HDFC Bank Q3 results: Profit jumps 11% to Rs 18,653 crore; asset quality improves - Business Today",Positive,0.9371,Positive,1.0
"Q3 Results Highlights: ICICI Bank Profit Down 4%, HDFC Bank Profit Rises - NDTV Profit",Positive,0.9468,Negative,0.9996080994606018
"Q3 Results Today: HDFC Bank, ICICI Bank, Yes Bank, IDBI Bank Among 20+ Companies To Declare Earnings - NDTV Profit",Positive,0.8807,Neutral,0.9999114274978638
HDFC BANK REPORTS STEADY PERFORMANCE - ICICI Direct,Neutral,0.0,Positive,0.9999631643295288
"HDFCBANK: Credit growth robust, asset quality strong, LDR to decline, margins to improve - TradingView — Track All Markets",Positive,0.9828,Positive,1.0
Earnings due 17 Jan 2026: HDFCBANK.NS NSE pre-market margins and guidance in focus - Meyka,Neutral,0.0,Neutral,0.9999991655349731
Key facts: HDFC Bank Q3 results boost broker ratings; stock reacts positively - TradingView — Track All Markets,Positive,0.9042,Positive,1.0
HDFCBANK.NS Stock Today: Wide Deposit Targets Signal NIM Pressure — January 19 - Meyka,Negative,-0.5267,Neutral,0.9999737739562988
Key facts: HDFC Bank's profit exceeds forecasts; analysts remain positive - TradingView — Track All Markets,Positive,0.9186,Positive,1.0
"Street View: Stable asset quality, healthy loan growth gives HDFC Bank an edge - TradingView — Track All Markets",Positive,0.9517,Positive,1.0
"Key facts: CLSA targets HDFC Bank at Rs 1,200; solid investment ahead - TradingView — Track All Markets",Positive,0.296,Positive,0.8567072749137878
HDFC Bank Parivartan to Field Largest Corporate Team at Mumbai Marathon 2026 for Cancer Awareness - TheCSRUniverse,Negative,-0.8689,Neutral,0.9999890327453612
"HDFC Bank Q3 PAT up 12% at ₹18,654 crore on robust core, other income growth - BusinessLine",Positive,0.8402,Positive,1.0
HDFCBANK.NS Stock Today: January 18 Q3 profit up; deposit gap in focus - Meyka,Positive,0.7003,Positive,0.9593416452407836
"India Inc. Q3 Earnings Kick Off: TCS, Reliance, HDFC Bank Face Scrutiny - Whalesbook",Neutral,0.0,Neutral,0.9437657594680786
HDFC Bank Reports 11.5% Increase in Q3FY26 Net Profit - indianewsnetwork.com,Positive,0.8555,Positive,0.999968647956848
HDFC Bank shares fell as analysts split on growth outlook after Q3 results - BusinessLine,Positive,0.8225,Neutral,0.9917524456977844
HDFC Bank clocks over 12% rise in Q3 net profit - Sarkaritel.com,Positive,0.7003,Positive,0.9999995231628418
Small Finance Banks Eye 24% Growth: HDFC Bank's Next Successors? - Whalesbook,Positive,0.8299,Neutral,0.9887324571609496
"HDFC Bank Q3 net profit up 11.5% to Rs 18,654 crore - Times of India",Positive,0.7003,Positive,0.9999992847442628
HDFC Bank to disburse ₹20 crore to startups by March - BusinessLine,Neutral,0.0,Neutral,0.9999971389770508
"HDFC Bank Q3 results in line; FII selling behind stock correction, says Gaurang Shah - The Economic Times",Neutral,0.0,Neutral,0.9995896220207214
What investors need to glean from HDFC Bank’s Q3 results - BusinessLine,Neutral,0.0,Neutral,0.9998934268951416
"HDFC Bank ADR earnings missed, revenue fell short of estimates - Investing.com",Negative,-0.5267,Negative,0.9999988079071044
HDFC Bank Q3 preview: Modest NII growth likely led by credit offtake; deposit traction in focus - Moneycontrol,Positive,0.8555,Positive,0.999594509601593
HDFC Bank vs ICICI Bank vs Yes Bank vs RBL Bank: Which stock to buy after Q3 results 2026? - MSN,Positive,0.6966,Neutral,0.9880163073539734
